,x,y
0,0,-19.811845754161283
1,1,-17.817298578958447
2,2,-15.342168326695088
3,3,-18.703222121524796
4,4,-16.96374046860789
5,5,-20.049245345349355
6,6,-15.248711446610356
7,7,-14.84354961069845
8,8,-17.314127704715457
9,9,-15.996221120772372
10,10,-15.44033249899707
11,11,-15.26625642036033
12,12,-29.800624871651245
13,13,-15.351935634316572
14,14,-13.964878625738123
15,15,-14.626410517797778
16,16,-24.46268634933187
17,17,-16.4011124143175
18,18,-14.777075270297491
19,19,-18.45360543833638
20,20,-14.627657221074438
21,21,-20.69264489807058
22,22,-16.39775308898714
23,23,-16.403190444333756
24,24,-15.0727653036665
25,25,-18.148485694823496
26,26,-15.062097757679037
27,27,-20.24429605201553
28,28,-20.73581458415862
29,29,-16.219245218895967
30,30,-15.737738045427394
31,31,-16.218322479588693
32,32,-17.117898569552004
33,33,-16.58671134602683
34,34,-15.542621730162763
35,35,-16.33440677642929
36,36,-13.800192042676093
37,37,-16.280813520684937
38,38,-12.201596950716755
39,39,-15.205361977297956
40,40,-16.87700532589345
41,41,-15.957369820805713
42,42,-14.679546105535097
43,43,-14.951319548012298
44,44,-17.319250879310605
45,45,-16.088941075603685
46,46,-18.27973164896561
47,47,-16.1182986226508
48,48,-15.775137319685623
49,49,-12.785405603775631
50,50,-14.955658614611995
51,51,-15.6461818935393
52,52,-22.215010026127786
53,53,-13.92492016724376
54,54,-18.431794475820915
55,55,-17.231702882343626
56,56,-18.37344433958172
57,57,-16.337523760387562
58,58,-14.351973257184977
59,59,-15.562315735265308
60,60,-18.770152960723944
61,61,-15.955651530418127
62,62,-18.077313525998147
63,63,-16.94111740516022
64,64,-16.03214390938481
65,65,-18.739707284131534
66,66,-18.639786608745286
67,67,-18.444078888224507
68,68,-14.285933681703456
69,69,-18.461220980621768
70,70,-12.336838587040093
71,71,-17.43944097664905
72,72,-14.59878688586118
73,73,-20.780567796337234
74,74,-18.84035984875519
75,75,-16.067763750775473
76,76,-16.8994884419422
77,77,-14.629664380094567
78,78,-16.463322679717567
79,79,-16.385931654817373
80,80,-19.141171547308392
81,81,-16.72000289808589
82,82,-17.085137464925438
83,83,-20.23831146214583
84,84,-15.09137355002055
85,85,-19.30380421621038
86,86,-14.862354612041868
87,87,-19.642241066110955
88,88,-18.670674427951624
89,89,-17.401939665347317
90,90,-17.144604936075435
91,91,-14.80213557260675
92,92,-16.938533407077927
93,93,-14.506928656372981
94,94,-20.14819668590523
95,95,-16.533206541622512
96,96,-14.161282883360167
97,97,-17.406854116855175
98,98,-17.69352947555226
99,99,-14.471940655385842
