,x,y
0,0,-15.808943022273349
1,1,-14.855859819634041
2,2,-14.919054271704903
3,3,-16.886437993727856
4,4,-15.769433019179978
5,5,-14.806890679853801
6,6,-12.5682255819597
7,7,-14.704923090675969
8,8,-20.010088952437325
9,9,-14.99046459070509
10,10,-19.568103758559136
11,11,-15.295736149852274
12,12,-17.553799983953123
13,13,-15.656663411536409
14,14,-16.396810422233642
15,15,-14.315011062169278
16,16,-14.495559430048733
17,17,-15.945242276272728
18,18,-16.680286697904908
19,19,-17.06356353157696
20,20,-15.758426070454435
21,21,-14.879649258835236
22,22,-19.33397922468246
23,23,-15.458128156508755
24,24,-15.408517948637243
25,25,-17.259237008791224
26,26,-21.795307250085813
27,27,-15.101904965572198
28,28,-14.97452425972445
29,29,-14.333989625991478
30,30,-15.575540982666944
31,31,-17.514429649805546
32,32,-11.899398564855566
33,33,-14.511698557537226
34,34,-15.730268105789573
35,35,-16.20244149324692
36,36,-12.434239736260364
37,37,-13.833694551253306
38,38,-15.236702894194872
39,39,-15.659242991311038
40,40,-15.161696992541064
41,41,-17.028230896933696
42,42,-16.543709957833094
43,43,-17.335526111437282
44,44,-14.203852086786917
45,45,-16.92833713496863
46,46,-19.88539171689813
47,47,-14.547958052847232
48,48,-14.782325929780816
49,49,-17.700484742619942
50,50,-15.444513214669085
51,51,-14.782048303922481
52,52,-15.86502687410493
53,53,-15.332536064878635
54,54,-14.79912089660013
55,55,-15.525666310914458
56,56,-13.033006637458456
57,57,-12.375095687545246
58,58,-17.162591214538985
59,59,-18.940757078758296
60,60,-15.290820104556602
61,61,-20.303057872123006
62,62,-15.613934897133012
63,63,-17.034908093386818
64,64,-21.320865379546973
65,65,-16.497228915411895
66,66,-14.93793470997177
67,67,-18.002688647467057
68,68,-16.81254515578262
69,69,-16.608151889118673
70,70,-20.244042989500183
71,71,-15.375300410249826
72,72,-20.233507962469343
73,73,-15.65311458114874
74,74,-16.280315474187336
75,75,-14.247569490293014
76,76,-15.852306164540538
77,77,-15.12600629287101
78,78,-15.050289945157989
79,79,-15.020759296301401
80,80,-15.866744567689121
81,81,-16.839089744562486
82,82,-15.594645452037247
83,83,-17.220566016301678
84,84,-16.007996641282467
85,85,-14.403594662869947
86,86,-16.710870772149516
87,87,-16.835220286613527
88,88,-17.691658249325226
89,89,-13.75856868295272
90,90,-17.28538959051645
91,91,-14.827318739069797
92,92,-18.5268167956784
93,93,-13.34407385968746
94,94,-24.429590418385413
95,95,-16.062265257412417
96,96,-15.45291903385583
97,97,-14.821041032362151
98,98,-19.3566268543823
99,99,-22.38663086879217
